"","x"
"1384",1063278
"1385",1065263
"1386",1057720
"1387",1042446
"1388",1047792
"1389",1061472
"1390",1064649
"1391",1065310
"1392",1060216
"1393",1043893
"1394",1044896
"1395",1061056
"1396",1066078
"1397",1065785
"1398",1060637
"1399",1046475
"1400",1053928
"1401",1065786
"1402",1070151
"1403",1067793
"1404",1060742
"1405",1044742
"1406",1054603
"1407",1066856
"1408",1070225
"1409",1069598
"1410",1062186
"1411",1046530
"1412",1054920
"1413",1066845
"1414",1073260
"1415",1072029
"1416",1065304
"1417",1050276
"1418",1063503
"1419",1072815
"1420",1076907
"1421",1071100
"1422",1064822
"1423",1049071
"1424",1064715
"1425",1073076
"1426",1078311
"1427",1074724
"1428",1067095
"1429",1052109
"1430",1063851
"1431",1074230
"1432",1081413
"1433",1077603
"1434",1069794
"1435",1055837
"1436",1073790
"1437",1079780
"1438",1083250
"1439",1078258
"1440",1069608
"1441",1055094
"1442",1074975
"1443",1080311
"1444",1084750
"1445",1081265
"1446",1071264
"1447",1056535
"1448",1073639
"1449",1083293
"1450",1086039
"1451",1083854
"1452",1074956
"1453",1062751
"1454",1082243
"1455",1087200
"1456",1089009
"1457",1084697
"1458",1072913
"1459",1062799
"1460",1083624
"1461",1087285
"1462",1091664
"1463",1087621
"1464",1075355
"1465",1065055
"1466",1082935
"1467",1090619
"1468",1094003
"1469",1089360
"1470",1078609
"1471",1071508
"1472",1090872
"1473",1093420
"1474",1096362
"1475",1088740
"1476",1077653
"1477",1071855
"1478",1089720
"1479",1095330
"1480",1098457
"1481",1091094
"1482",1079687
"1483",1073696
"1484",1089915
"1485",1097758
"1486",1100820
"1487",1094385
"1488",1082468
"1489",1080800
"1490",1096662
"1491",1100767
"1492",1101267
"1493",1094780
"1494",1081787
"1495",1080097
"1496",1097724
"1497",1103421
"1498",1102269
"1499",1096721
"1500",1082270
"1501",1081267
"1502",1097245
"1503",1103283
"1504",1104785
"1505",1098992
"1506",1085593
"1507",1088116
"1508",1103822
"1509",1106521
"1510",1105465
"1511",1099421
"1512",1084624
"1513",1088962
"1514",1104859
"1515",1107157
"1516",1107775
"1517",1101686
"1518",1085038
"1519",1088128
"1520",1104876
"1521",1109494
"1522",1109447
"1523",1103529
"1524",1088194
"1525",1096877
"1526",1109834
"1527",1112596
"1528",1110053
"1529",1103814
"1530",1087610
"1531",1096938
"1532",1109402
"1533",1113959
"1534",1112926
"1535",1104036
"1536",1089124
"1537",1096369
"1538",1109497
"1539",1115719
"1540",1114316
"1541",1106559
"1542",1092291
"1543",1106211
"1544",1114187
"1545",1118823
"1546",1115367
"1547",1107348
"1548",1090724
"1549",1105947
"1550",1115555
"1551",1120118
"1552",1116148
"1553",1107781
"1554",1092234
"1555",1103427
"1556",1115832
"1557",1122168
"1558",1118090
"1559",1108657
"1560",1096397
"1561",1113130
"1562",1117905
"1563",1123759
"1564",1119648
"1565",1109345
"1566",1094737
"1567",1113439
"1568",1119547
"1569",1125902
"1570",1121708
"1571",1110707
"1572",1095226
"1573",1112167
"1574",1121274
"1575",1125343
"1576",1123540
"1577",1113805
"1578",1100559
"1579",1120447
"1580",1125143
"1581",1127939
"1582",1124184
"1583",1113644
"1584",1098650
"1585",1121583
"1586",1126289
"1587",1129592
"1588",1126187
"1589",1113524
"1590",1101216
"1591",1119578
"1592",1127053
"1593",1131831
"1594",1128542
"1595",1117013
"1596",1107513
"1597",1127662
"1598",1130017
"1599",1133519
"1600",1129255
"1601",1116795
"1602",1105891
"1603",1129085
"1604",1131375
"1605",1135661
"1606",1131179
"1607",1118244
"1608",1107756
"1609",1126761
"1610",1133464
"1611",1137332
"1612",1131800
"1613",1121472
"1614",1114355
"1615",1131591
"1616",1136098
"1617",1138443
"1618",1130253
"1619",1119705
"1620",1113002
"1621",1132540
"1622",1137386
"1623",1141129
"1624",1132623
"1625",1121525
"1626",1114584
"1627",1131112
"1628",1139725
"1629",1141564
"1630",1135071
"1631",1125545
"1632",1120289
"1633",1138066
"1634",1142530
"1635",1143178
"1636",1135700
"1637",1124006
"1638",1120492
"1639",1139237
"1640",1144394
"1641",1145850
"1642",1137938
"1643",1125580
"1644",1120687
"1645",1138112
"1646",1145063
"1647",1147851
"1648",1140496
"1649",1128354
"1650",1128414
"1651",1144296
"1652",1147424
"1653",1148446
"1654",1141149
"1655",1126578
"1656",1128190
"1657",1145790
"1658",1149202
"1659",1149059
"1660",1142220
"1661",1128331
"1662",1127888
"1663",1144878
"1664",1150602
"1665",1151406
"1666",1144944
"1667",1132191
"1668",1134739
"1669",1148654
"1670",1152398
"1671",1151848
"1672",1144232
"1673",1130455
"1674",1135356
"1675",1149698
"1676",1154115
"1677",1151584
"1678",1145398
"1679",1131529
"1680",1131419
"1681",1149071
"1682",1155977
"1683",1154062
"1684",1148488
"1685",1135735
"1686",1137779
"1687",1153773
"1688",1157337
"1689",1153079
"1690",1147949
"1691",1134517
"1692",1137629
"1693",1155327
"1694",1159388
"1695",1155157
"1696",1149712
"1697",1135935
"1698",1137712
"1699",1154636
"1700",1160907
"1701",1157336
"1702",1152218
"1703",1139239
"1704",1144645
"1705",1157657
"1706",1159987
"1707",1157646
"1708",1151420
"1709",1136233
"1710",1143858
"1711",1159443
"1712",1162061
"1713",1159574
"1714",1153334
"1715",1138495
"1716",1143980
"1717",1159253
"1718",1164806
"1719",1162159
"1720",1156568
"1721",1142112
"1722",1151209
"1723",1163206
"1724",1166961
"1725",1162763
"1726",1154891
"1727",1141850
"1728",1151116
"1729",1163664
"1730",1168436
"1731",1164912
"1732",1156948
"1733",1143400
"1734",1150773
"1735",1163573
"1736",1169975
"1737",1167274
"1738",1159934
"1739",1144703
"1740",1157823
"1741",1167139
"1742",1169064
"1743",1165878
"1744",1160485
"1745",1144279
"1746",1154980
"1747",1168752
"1748",1171646
"1749",1168576
"1750",1161984
"1751",1146814
"1752",1154822
"1753",1169122
"1754",1173419
"1755",1171243
"1756",1164579
"1757",1150072
"1758",1162517
"1759",1171301
"1760",1174551
"1761",1171267
"1762",1165019
"1763",1150055
"1764",1161372
"1765",1174351
"1766",1175330
"1767",1173781
"1768",1167145
"1769",1151012
"1770",1160148
"1771",1173665
"1772",1177585
"1773",1176597
"1774",1170286
"1775",1154386
"1776",1167054
"1777",1176830
"1778",1179141
"1779",1176691
"1780",1170532
"1781",1154520
"1782",1166706
"1783",1177588
"1784",1180742
"1785",1178699
"1786",1171350
"1787",1157085
"1788",1165274
"1789",1177563
"1790",1182911
"1791",1182049
"1792",1175140
"1793",1160155
"1794",1172035
"1795",1181003
"1796",1184240
"1797",1181832
"1798",1175501
"1799",1160561
"1800",1171385
"1801",1181197
"1802",1185855
"1803",1182267
"1804",1175618
"1805",1162452
"1806",1168351
"1807",1181204
"1808",1188448
"1809",1186356
"1810",1178565
"1811",1166506
"1812",1174988
"1813",1184549
"1814",1189566
"1815",1186037
"1816",1179586
"1817",1166178
"1818",1174357
"1819",1186173
"1820",1190701
"1821",1188889
"1822",1181132
"1823",1166376
"1824",1173102
"1825",1186167
"1826",1192072
"1827",1191279
"1828",1184333
"1829",1170347
"1830",1179230
"1831",1190008
"1832",1193238
"1833",1192060
"1834",1185690
"1835",1170198
"1836",1178458
"1837",1191558
"1838",1195085
"1839",1194490
"1840",1188015
"1841",1172697
"1842",1178175
"1843",1190333
"1844",1197544
"1845",1196929
"1846",1189112
"1847",1175832
"1848",1183806
"1849",1194418
"1850",1198614
"1851",1198027
"1852",1189747
"1853",1176088
"1854",1182811
"1855",1195817
"1856",1199819
"1857",1199971
"1858",1192262
"1859",1178112
"1860",1182465
"1861",1196260
"1862",1202434
"1863",1200679
"1864",1194730
"1865",1181140
"1866",1185578
"1867",1199637
"1868",1203297
"1869",1200127
"1870",1195406
"1871",1181856
"1872",1183719
"1873",1200995
"1874",1205380
"1875",1202172
"1876",1197216
"1877",1183769
"1878",1183353
"1879",1200523
"1880",1206078
"1881",1205219
"1882",1198899
"1883",1185100
"1884",1188013
"1885",1204553
"1886",1206794
"1887",1205784
"1888",1200880
"1889",1185947
"1890",1187860
"1891",1204973
"1892",1207967
"1893",1206933
"1894",1202288
"1895",1187635
"1896",1186632
"1897",1204336
"1898",1210175
"1899",1208720
"1900",1204250
"1901",1189750
"1902",1191169
"1903",1206786
"1904",1210190
"1905",1209682
"1906",1203452
"1907",1190094
"1908",1191369
"1909",1206448
"1910",1211702
"1911",1212043
"1912",1206082
"1913",1191681
"1914",1191426
"1915",1207151
"1916",1213681
"1917",1214691
"1918",1208811
"1919",1194676
"1920",1195018
"1921",1211465
"1922",1214195
"1923",1215034
"1924",1209690
"1925",1195979
"1926",1193489
"1927",1212047
"1928",1215892
"1929",1218403
"1930",1211954
"1931",1197400
"1932",1193871
"1933",1212275
"1934",1215596
"1935",1220501
"1936",1214013
"1937",1199576
"1938",1198216
"1939",1216826
"1940",1217385
"1941",1222432
"1942",1215372
"1943",1199068
"1944",1196467
"1945",1217382
"1946",1216926
"1947",1224806
"1948",1218816
"1949",1203224
"1950",1198894
"1951",1217002
"1952",1219550
"1953",1226016
"1954",1220432
"1955",1205998
"1956",1202028
"1957",1222145
"1958",1222093
"1959",1227818
"1960",1221816
"1961",1206447
"1962",1200587
"1963",1221374
"1964",1223079
"1965",1229808
"1966",1222742
"1967",1209940
"1968",1202714
"1969",1220025
"1970",1225257
"1971",1231660
"1972",1225263
"1973",1212317
"1974",1206292
"1975",1226345
"1976",1227540
"1977",1233351
"1978",1226183
"1979",1213402
"1980",1204990
"1981",1226978
"1982",1228735
"1983",1234023
"1984",1229135
"1985",1216223
"1986",1205772
"1987",1224579
"1988",1230480
"1989",1235108
"1990",1230790
"1991",1218966
"1992",1208418
"1993",1231260
"1994",1232528
"1995",1237266
"1996",1231320
"1997",1220111
"1998",1207804
"1999",1231448
"2000",1234184
"2001",1239123
"2002",1234153
"2003",1223024
"2004",1210643
"2005",1227283
"2006",1234021
"2007",1240094
"2008",1234573
"2009",1223960
"2010",1213405
"2011",1233679
"2012",1236443
"2013",1242518
"2014",1235432
"2015",1225113
"2016",1212394
